"author","Affiliation"
"Eyal Krupka","Intelliswift"
"Duncan A. J. Blythe","Linguistic University of Nizhny Novgorod"
"Frank C. Meinecke","Fachhochschule Erfurt"
"Franz J. Király","Jobspring Partners"
"Jan Saputra Müller","Zero Financial"
"Klaus-Robert Müller","Gemini"
"Paul von Bünau","Islamic Azad University, Janah"
"Wei Chu","The Superior College "
"Zoubin Ghahramani","University of Engineering and Technology Lahore"
"Alona Fyshe","Indiegogo"
"David B. Dunson","Avicenna International College"
"Emily B. Fox","Liaoning Technical University"
"Tom M. Mitchell","Universidad Privada Los Andes"
"Botond Cseke","Allbirds"
"Tom Heskes","Beijing Union University"
"Doris Entner","Ecole de l'Air"
"Patrik O. Hoyer","The Superior College "
"Peter Spirtes","Windsor University School of Medicine"
"Albert Bifet","Universidad Privada Los Andes"
"Bernhard Pfahringer","Kosin University"
"Geoff Holmes 0001","Royal Danish School of Pharmacy"
"Indre Zliobaite","Vietnam Maritime University"
"Alan Johnston","Université Senghor d'Alexandrie"
"Benjamin X. Hall","Linguistic University of Nizhny Novgorod"
"Hal Daumé III","Aktana"
"Julie Carreau","Tempo Automation"
"Amir Globerson","Flipboard"
"David A. Sontag","Naytev"
"Marina Meila","Flipboard"
"Tommi S. Jaakkola","Veterinärmedizinische Universität Wien"
"Marc'Aurelio Ranzato","Flipboard"
"Sumit Chopra","Awadhesh Pratap Singh University"
"Y-Lan Boureau","Odense University"
"Yann LeCun","Ahi Evran University"
"Cosma Rohilla Shalizi","Windsor University School of Medicine"
"Daniel J. McDonald","Mozilla"
"Mark J. Schervish","Dover"
"Jean-Yves Audibert","Royal Danish School of Pharmacy"
"Manfred Opper","Beijing Union University"
"Steffen Grünewälder","Beijing Union University"
"Kevin Robert Canini","General Assembly"
"Lei Shi 0009","Rockbot"
"Thomas L. Griffiths 0001","Firat (Euphrates) University"
"Daniel Povey","Odense University"
"Oriol Vinyals","Betterworks"
"Yue Guan","Ahi Evran University"
"Neil D. Lawrence","Braintree"
"Dorota Glowacka","University of Debrecen "
"Antonio Javier Gallego Sánchez","The Juilliard School"
"Damián López","Veterinärmedizinische Universität Wien"
"Jorge Calera-Rubio","National Hsin-Chu Teachers College"
"Nathan Srebro","The Superior College "
"Xueyuan Zhou","Tokushima University"
"Eric P. Xing","Universidad Privada Los Andes"
"Qirong Ho","Rockbot"
"J. Xie","Dover"
"T. Xiong","Outreach"
"Devorah Kletenik","Intelliswift"
"Linda Sellie","Universitas Negeri Surabaya"
"Lisa Hellerstein","St. Petersburg State University of Technology and Design"
"Rocco A. Servedio","Université Senghor d'Alexandrie"
"Barnabás Póczos","BloomThat"
"Csaba Szepesvári","Credit Karma"
"Sergey Kirshner","St. Petersburg State University of Technology and Design"
"Rina Foygel","Avicenna International College"
"Dafna Shahaf","City University Programs in Bulgaria "
"Shuicheng Yan","Oracle"
"Xiaotong Yuan","Academy of Management and Entrepreneurship"
"Bernhard Schölkopf","Stitch Labs"
"Dominik Janzing","Islamic Azad University, Janah"
"Isabelle Guyon","IBM"
"Shai Shalev-Shwartz","University of Debrecen "
"Yoram Singer","Liaoning Technical University"
"Dávid Pál","Credit Karma"
"Gábor Bartók","Kentik"
"Rina Dechter","Sri Padmavati Women's University"
"Vibhav Gogate","Outreach"
"Cheng Soon Ong","Dover"
"Joachim M. Buhmann","Universidad Autónoma de Veracruz Villa Rica"
"Patrick Pletscher","Stockholm School of Economics"
"Giorgio Giacinto","University of Debrecen "
"Igino Corona","Heritage College"
"Arun Rajkumar","Woebot Labs"
"Shivani Agarwal 0001","Kagawa Medical School"
"Olgierd Unold","Universitat de Vic"
"André Platzer","Kagawa Medical School"
"Erik Zawadzki","Indiegogo"
"Peter A. Flach","The Juilliard School"
"Sebastian Spiegler","Flipboard"
"Simon Price","University of Debrecen "
"Hei Chan","Liaoning Technical University"
"Manabu Kuroki","Academy of Management and Entrepreneurship"
"Garry P. Nolan","Vietnam Maritime University"
"Karen Sachs","The Superior College "
"Mesrob I. Ohannessian","BloomThat"
"Munther A. Dahleh","University of Medicine Magway"
"Sleiman Itani","University of the Faroe Islands"
"Gerald Matz","Quantcast"
"Jeremy Jancsary","Zero Financial"
"Mark Rudelson","Highland Capital Partners"
"Shuheng Zhou","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Florian Steinke","Stockholm School of Economics"
"Koji Tsuda","National Hsin-Chu Teachers College"
"Matthias W. Seeger","Kosin University"
"Changhe Yuan","University of Medicine Magway"
"Marek J. Druzdzel","Kagawa Medical School"
"Bo Dai 0001","Universitas Negeri Surabaya"
"Gang Niu 0001","Tempo Automation"
"Lin Shang 0001","Ecole de l'Air"
"Jarvis D. Haupt","West Pomeranian Business School in Szczecin"
"Rui M. Castro","BloomThat"
"Ulrike von Luxburg","Aktana"
"Rahul Garg 0001","University of Engineering and Technology Lahore"
"Rohit Khandekar","Vietnam Maritime University"
"Fabio Aiolli","Preston University, Pakistan Campus"
"Sergey M. Plis","Quantcast"
"Stephen McCracken","Radical Designs"
"Terran Lane","Tokushima University"
"Vince D. Calhoun","Fachhochschule Dortmund"
"Carl Edward Rasmussen","West Pomeranian Business School in Szczecin"
"Marc Peter Deisenroth","Kasetsart University"
"Ryan D. Turner","National Hsin-Chu Teachers College"
"Luis E. Ortiz","Highland Capital Partners"
"Robert E. Schapire","Kagawa Medical School"
"Sham M. Kakade","Always Hired"
"Guy Lever","Windsor University School of Medicine"
"D. Gnanaraj Thomas","University of the Faroe Islands"
"J. D. Emerald","Postmates"
"M. Humrosia Begam","Postmates"
"M. Jayasrirani","Grand Rounds"
"Francis R. Bach","Philo"
"Guillaume Obozinski","Okayama University of Science"
"Rodolphe Jenatton","Fachhochschule Erfurt"
"Jinwoo Shin","National Hsin-Chu Teachers College"
"Alexander Clark","Shandong Medical University"
"Ryo Yoshinaka","RGA Associates"
"Ahmed K. Farahat","Sri Padmavati Women's University"
"Ali Ghodsi 0001","Grand Rounds"
"Mohamed S. Kamel","Flipboard"
"Kareem Amin 0002","The Sourcery"
"Michael J. Kearns","Université Senghor d'Alexandrie"
"Umar Syed","Universidad Privada Abierta Latinoamericana"
"Ann B. Lee","Indeed"
"Boaz Nadler","Islamic Azad University, Janah"
"Harish Karnick","Ivanovo State Power University"
"Purushottam Kar","Codexis"
"Han Liu 0001","Universidad Autónoma de Veracruz Villa Rica"
"John D. Lafferty","Grand Rounds"
"Larry A. Wasserman","Quantcast"
"Pannagadatta K. Shivaswamy","Avicenna International College"
"Tony Jebara","Oracle"
"Andriy Mnih","Windsor University School of Medicine"
"Geoffrey E. Hinton","Universidad Privada Los Andes"
"Ilya Sutskever","Gustav-Siewerth-Akademie"
"James Cook","Clover Health"
"An C. Tran","Betterworks"
"Hans W. Guesgen","Codexis"
"Jens Dietrich 0001","Braintree"
"Stephen Marsland","Academy of Management and Entrepreneurship"
"Akimichi Takemura","UserTesting"
"Junya Honda","Vietnam Maritime University"
"Hugo Larochelle","Universitat de Vic"
"Jasper Snoek","Indiegogo"
"Francesco Dinuzzo","Université Senghor d'Alexandrie"
"Kenji Fukumizu","Fachhochschule Erfurt"
"H. Brendan McMahan","Radical Designs"
"Giorgio Valentini","University of the Faroe Islands"
"Matteo Ré","Indeed"
"Alexander R. Statnikov","Avicenna International College"
"Constantin F. Aliferis","UserTesting"
"Guillaume Desjardins","IBM"
"Olivier Delalleau","Skillz"
"Pascal Vincent","Veterinärmedizinische Universität Wien"
"Bo Thiesson","Woebot Labs"
"Jingu Kim","Academy of Management and Entrepreneurship"
"Chenlei Leng","University of Engineering and Technology Lahore"
"Huan Xu","Aktana"
"Odalric-Ambrym Maillard","Awadhesh Pratap Singh University"
"Rémi Munos","Okayama University of Science"
"Morten Mørup","The Sourcery"
"Ryota Tomioka","College of St. Elizabeth"
"Avneesh Singh Saluja","Logikcull"
"Ole J. Mengshoel","Always Hired"
"Priya Krishnan Sundararajan","Fachhochschule Dortmund"
"Dilan Görür","Fachhochschule Erfurt"
"Yee Whye Teh","Philo"
"Ivor W. Tsang","Fachhochschule Erfurt"
"Shukai Li","Oracle"
"Alessandro Verri","Mozilla"
"Lorenzo Rosasco","Fachhochschule Dortmund"
"Matteo Santoro","Postmates"
"Silvia Villa","RGA Associates"
"Sofia Mosci","Technische Universität München"
"Arnaud Doucet","Bayside Solutions"
"Jan Peters 0001","The Sourcery"
"Matthew Hoffman 0002","Firat (Euphrates) University"
"Nando de Freitas","Postmates"
"Peter Cerno","Mozilla"
"Yuhong Yang 0002","Firat (Euphrates) University"
"Alexander Paprotny","Odense University"
"Jochen Garcke","Flipboard"
"David M. Blei","Linguistic University of Nizhny Novgorod"
"Jonathan D. Chang","Intelliswift"
"Peter Sunehag","Bayside Solutions"
"Eibe Frank","College of St. Elizabeth"
"Geoffrey Holmes 0001","Flipboard"
"Amit Gruber","University of Medicine Magway"
"Michal Rosen-Zvi","The Sourcery"
"Yair Weiss","UserTesting"
"Laurens van der Maaten","IBM"
"C.-H. Ho","University of Medicine Magway"
"C.-J. Lin","Outreach"
"M.-H. Tsai","Stitch Labs"
"Byoung-Tak Zhang","Stockholm School of Economics"
"Daniel D. Lee","Flipboard"
"Yung-Kyun Noh","Gemini"
"Vladimir Vovk","BloomThat"
"Kedar Bellare","The Sourcery"
"Paramveer S. Dhillon","Indiegogo"
"S. Sathiya Keerthi","Quantcast"
"Sundararajan Sellamanickam","Université Senghor d'Alexandrie"
"Benjamin Recht","Technische Universität München"
"Christopher Ré","Gemini"
"Donghui Wang","Radical Designs"
"Guang Dai","Dover"
"Zhihua Zhang","Heritage College"
"James Tin-Yau Kwok","Rockbot"
"Yu-Feng Li","Braintree"
"Zhi-Hua Zhou","Awadhesh Pratap Singh University"
"Charles Sutton","Clover Network"
"Andreas Argyriou","Vietnam Maritime University"
"Bernardino Romera-Paredes","IBM"
"Massimiliano Pontil","Technische Universität München"
"Nadia Berthouze","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Alard Roebroeck","Zero Financial"
"Anil K. Seth","Ecole de l'Air"
"Pedro A. Valdés-Sosa","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Constantin Comendant","University of Medicine Magway"
"Jan Ramon","Liaoning Technical University"
"Sue Ann Hong","Always Hired"
"Hoang Vu Nguyen","General Assembly"
"Vivekanand Gopalkrishnan","Swiftly"
"Mikio L. Braun","Kagawa Medical School"
"Nicole Krämer 0002","The Sourcery"
"Alberto Giovanni Busetto","Kosin University"
"Aleksandrs Slivkins","Kentik"
"Adam Woznica","University of Medicine Magway"
"Alexandros Kalousis","Technische Universität München"
"Huyen Do","University of Engineering and Technology Lahore"
"Jun Wang 0017","Gustav-Siewerth-Akademie"
"Dit-Yan Yeung","Universitat de Vic"
"Frederick H. Lochovsky","City University Programs in Bulgaria "
"Gang Wang 0004","Dover"
"Jacob Steinhardt","Ecole de l'Air"
"Haesun Park","University of California, Riverside"
"Alexandre Klementiev","Intelliswift"
"Dan Roth","Betterworks"
"Ivan Titov","Linguistic University of Nizhny Novgorod"
"Kevin Small","Tokyo Denki University"
"Mathieu Sinn","Indiegogo"
"Pascal Poupart","Bayside Solutions"
"Jennifer Neville","Credit Karma"
"Rongjing Xiang","Royal Danish School of Pharmacy"
"Jun Sese","Tokushima University"
"Takafumi Kanamori","Technische Universität München"
"Tie-Yan Liu","Okayama University of Science"
"Yi Chang 0001","Preston University, Pakistan Campus"
"Wu-Jun Li","Okayama University of Science"
"Dumitru Erhan","Liaoning Technical University"
"Balázs Kégl","Avicenna International College"
"Róbert Busa-Fekete","College of St. Elizabeth"
"Bo Xie 0002","University of the Faroe Islands"
"Dacheng Tao","Odense University"
"Wei Bian","Gustav-Siewerth-Akademie"
"Subramani Mani","Dover"
"Antti Ajanki","Vietnam Maritime University"
"Kai Puolamäki","Shandong Medical University"
"Samuel Kaski","Naytev"
"Amaury Habrard","Windsor University School of Medicine"
"Leonor Becerra-Bonache","Ivanovo State Power University"
"Marc Sebban","Rockbot"
"Michaël Perrot","The Superior College "
"Élisa Fromont","University of Debrecen "
"Yang Zhang","99designs"
"Zhijian Ou","Universitas Negeri Surabaya"
"Sébastien Gerchinovitz","Layer"
"Bernard Zenko","Clover Health"
"Ivica Slavkov","Gemini"
"Saso Dzeroski","Vietnam Maritime University"
"George Karypis","Credit Karma"
"Xia Ning","Kagawa Medical School"
"Avrim Blum","Universidad Privada Abierta Latinoamericana"
"Maria-Florina Balcan","Sri Padmavati Women's University"
"Shai Fine","Tempo Automation"
"Yishay Mansour","Universidad Privada Los Andes"
"Béatrice Laurent","Clover Network"
"Magalie Fromont","Indiegogo"
"Matthieu Lerasle","RGA Associates"
"Patricia Reynaud-Bouret","Kasetsart University"
"Jeff G. Schneider","Skillz"
"Cynthia Rudin","University of Debrecen "
"Ingrid Daubechies","University of the Faroe Islands"
"Andrew G. Howard","Odense University"
"Risi Kondor","Kagawa Medical School"
"Ioannis Tsamardinos","Jobspring Partners"
"Laura E. Brown","Layer"
"Laëtitia Comminges","Credit Karma"
"Tijmen Tieleman","Skillz"
"Byron Boots","AMD"
"Dinh Q. Phung","Triplebyte"
"Svetha Venkatesh","99designs"
"Truyen Tran 0001","Kasetsart University"
"Harri Valpola","AMD"
"Tapani Raiko","Mozilla"
"Ruth Urner","Braintree"
"Shai Ben-David","University of the Faroe Islands"
"A. Philip Dawid","Allbirds"
"Hui Guo","Dover"
"Dimitris Samaras","Heritage College"
"Guillermo A. Cecchi","Highland Capital Partners"
"Irina Rish","Kosin University"
"Jean Honorio","The Juilliard School"
"Joey Tianyi Zhou","Windsor University School of Medicine"
"Qi Mao","University of Medicine Magway"
"Sinno Jialin Pan","The Sourcery"
"Hiroshi Mamitsuka","RGA Associates"
"Timothy Hancock","Huaihai Institute of Technology"
"Daniel J. Hsu","The Superior College "
"Tong Zhang 0001","Gemini"
"Bert Huang","Braintree"
"Yi Zhang 0010","Allbirds"
"John M. Winn","Intelliswift"
"Guha Balakrishnan","University of the Faroe Islands"
"Zeeshan Syed","National Hsin-Chu Teachers College"
"Mikko Koivisto","Beijing Union University"
"Pekka Parviainen","Highland Capital Partners"
"Cristian Sminchisescu","Indeed"
"Marius Leordeanu","Kentik"
"Babak Ahmadi","University of Baltimore"
"Kristian Kersting","Kentik"
"Martin Mladenov","Gemini"
"Mikhail Jiline","Firat (Euphrates) University"
"Svetlana Kiritchenko","Naytev"
"Vitaly Feldman","Oracle"
"Andrew L. Maas","City University Programs in Bulgaria "
"Richard Socher","Universitat de Vic"
"Alexander G. Gray","Kasetsart University"
"Dongryeol Lee","Tokushima University"
"James M. Rehg","Allbirds"
"Ping Wang 0012","West Pomeranian Business School in Szczecin"
"György Szarvas","University of Engineering and Technology Lahore"
"Tamás Éltetö","Highland Capital Partners"
"Daphne Koller","University of Engineering and Technology Lahore"
"Suchi Saria","Windsor University School of Medicine"
"Vladimir Jojic","Philo"
"Joseph S. Kong","Zero Financial"
"Justin Kessler","University of the Faroe Islands"
"Kyle Teague","Universidad Privada Los Andes"
"Joemon M. Jose","Gemini"
"Vassilios Stathopoulos 0002","Credit Karma"
"Carl Smith","The Juilliard School"
"Liam Paninski","Postmates"
"Ricardo Bezerra de Andrade e Silva","Liaoning Technical University"
"Robert B. Gramacy","Credit Karma"
"Avishek Saha","Gustav-Siewerth-Akademie"
"Piyush Rai","Clover Health"
"Suresh Venkatasubramanian","Quantcast"
"Damien Ernst","UserTesting"
"Raphael Fonteneau","Tempo Automation"
"Susan A. Murphy","Stockholm School of Economics"
"Ali Taylan Cemgil","University of California, Riverside"
"Bilge Günsel","National Hsin-Chu Teachers College"
"Yener Ülker","Zero Financial"
"Benjamin M. Marlin","Quantcast"
"Bo Chen","Aktana"
"Kevin Swersky","Betterworks"
"Christopher Hart","Highland Capital Partners"
"Michael A. Osborne","Tokyo Denki University"
"Neale Gibson","Shandong Medical University"
"Roman Garnett","The Superior College "
"Stephen J. Roberts","Heritage College"
"Suzanne Aigrain","Clover Health"
"Peter Grünwald","Clover Health"
"Ryohei Fujimaki","University of California, Riverside"
"Satoshi Morinaga","University of Medicine Magway"
"Joachim Giesen","Braintree"
"Martin Jaggi","National Hsin-Chu Teachers College"
"Sören Laue","Naytev"
"Babak Nadjar Araabi","Woebot Labs"
"Hadi Moradi","Avicenna International College"
"Hossein Hajimirsadeghi","Kabam"
"Majid Nili Ahmadabadi","Okayama University of Science"
"Mostafa Ajallooeian","Huaihai Institute of Technology"
"Jeff M. Phillips","Ahi Evran University"
"Amr Ahmed 0001","Outreach"
"D. Mike Titterington","Postmates"
"Gábor Lugosi","The Sourcery"
"Sébastien Bubeck","St. Petersburg State University of Technology and Design"
"Douglas Aberdeen","TrustArc"
"Olivier Buffet","Stockholm School of Economics"
"Owen Thomas","Universidad Privada Abierta Latinoamericana"
"Boleslaw K. Szymanski","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Jierui Xie","Sri Padmavati Women's University"
"Mohammed J. Zaki","Bayside Solutions"
"Jouni Hartikainen","Always Hired"
"Simo Särkkä","Indeed"
"Purnamrita Sarkar","Ahi Evran University"
"Loizos Michael","Awadhesh Pratap Singh University"
"David Vogel","Betterworks"
"Gideon Dror","Skillz"
"Marc Boullé","Beijing Union University"
"Vincent Lemaire 0001","Academy of Management and Entrepreneurship"
"Mark A. Girolami","TrustArc"
"Sivan Sabato","Heritage College"
"Suicheng Gu","Linguistic University of Nizhny Novgorod"
"Yuhong Guo","Avicenna International College"
"Michalis K. Titsias","City University Programs in Bulgaria "
"Si-Chi Chin","Tokyo Denki University"
"W. Nick Street","Zero Financial"
"Cristina Tîrnauca","National Hsin-Chu Teachers College"
"José L. Balcázar","The Juilliard School"
"Tom Diethe","Clover Network"
"Chris Lovell","AMD"
"Gareth L. Jones 0001","Firat (Euphrates) University"
"Klaus-Peter Zauner","Fachhochschule Dortmund"
"Steve R. Gunn","The Juilliard School"
"Hua Mao","Tokushima University"
"Manfred Jaeger","Liaoning Technical University"
"Fernando Pereira","University of Medicine Magway"
"Koby Crammer","Ecole de l'Air"
"Emmanuel Duflos","Triplebyte"
"Hachem Kadri","Logikcull"
"Manuel Davy","General Assembly"
"Philippe Preux","University of the Faroe Islands"
"Stéphane Canu","Huaihai Institute of Technology"
"Teresa Luu","University of Medicine Magway"
"Tyler Lu","Preston University, Pakistan Campus"
"Changhu Wang","Bayside Solutions"
"HongJiang Zhang","The Superior College "
"Lei Zhang 0001","Postmates"
"Gersende Fort","Bayside Solutions"
"Rémi Bardenet","Codexis"
"José M. Carmona-Cejudo","Oracle"
"João Gama 0001","National Hsin-Chu Teachers College"
"Manuel Baena-García","Bayside Solutions"
"Rafael Morales Bueno","Fachhochschule Dortmund"
"Drew Bagnell","Clover Network"
"Stéphane Ross","The Juilliard School"
"Alekh Agarwal","Rockbot"
"John Langford 0001","Heritage College"
"Miroslav Dudík","Mozilla"
"Ramani Duraiswami","Woebot Labs"
"Vikas C. Raykar","Grand Rounds"
"Mark D. Reid","Tokyo Denki University"
"Tim van Erven","University of Baltimore"
"Levi Boyles","Odense University"
"Max Welling","Intelliswift"
"Guangcan Liu","Philo"
"Huan Xu 0001","Kagawa Medical School"
"Ralf Herbrich","Avicenna International College"
"Thore Graepel","Avicenna International College"
"Xinhua Zhang","Woebot Labs"
"Mohamed Amir Esseghir","Vietnam Maritime University"
"Aurélie C. Lozano","General Assembly"
"Naoki Abe","College of St. Elizabeth"
"Giovanni Maria Farinella","College of St. Elizabeth"
"Giovanni Puglisi","Bayside Solutions"
"Giuseppe Azzaro","Academy of Management and Entrepreneurship"
"Giuseppe Claudio Guarnera","Avicenna International College"
"Margherita Caccamo","Postmates"
"Sebastiano Battiato","Logikcull"
"Dmitry Kropotov","Kasetsart University"
"Dmitry P. Vetrov","Tokushima University"
"Lior Wolf","General Assembly"
"Tal Hassner","RGA Associates"
"Harald Steck","Universidad Privada Abierta Latinoamericana"
"Katharina Morik","Islamic Azad University, Janah"
"Katrin Tomanek","City University Programs in Bulgaria "
"Gilles Blanchard","IBM"
"Alessandro Rozza","Mozilla"
"Elena Casiraghi","University of Engineering and Technology Lahore"
"Gabriele Lombardi","Kabam"
"Marco Rosa","UserTesting"
"Alexander Ihler","Indeed"
"David A. McAllester","Heritage College"
"Simon Rogers","Avicenna International College"
"Dean P. Foster","Aktana"
"Alex Krizhevsky","Betterworks"
"Ferenc Huszar","Liaoning Technical University"
"Simon Lacoste-Julien","Codexis"
"Bao-Gang Hu","The Juilliard School"
"Zhuoran Wang","Oracle"
"Andy Way","Okayama University of Science"
"Tsuyoshi Okita 0002","Postmates"
"Yvette Graham","Naytev"
"Marion Neumann","RGA Associates"
"Martin Schiegg","Layer"
"Thorsten Joachims","Royal Danish School of Pharmacy"
"Edward Lloyd Snelson","Avicenna International College"
"Jiawei Han 0001","Odense University"
"Marina Danilevsky","Intelliswift"
"Quanquan Gu","Triplebyte"
"Zhenhui Li","Kasetsart University"
"Raymond S. Smith","99designs"
"Terry Windeatt","Oracle"
"Nakul Verma","University of Baltimore"
"Alan Fern","Postmates"
"Jervis Pinto","The Sourcery"
"Martin Erwig","University of the Faroe Islands"
"Tim Bauer","Grand Rounds"
"Aaron Archer","Beijing Union University"
"Angus MacLellan","Okayama University of Science"
"Carlos Eduardo Scheidegger","University of Medicine Magway"
"David L. Applegate","Ivanovo State Power University"
"Guangqin Ma","Postmates"
"Rensheng Wang","Stockholm School of Economics"
"S. Tom Au","National Hsin-Chu Teachers College"
"Shankar Krishnan","General Assembly"
"Suhrid Balakrishnan","AMD"
"Yifan Hu 0001","Universidad Privada Abierta Latinoamericana"
"Dale Schuurmans","Shandong Medical University"
"Martha White","Avicenna International College"
"Grégoire Montavon","Okayama University of Science"
"Gavin C. Cawley","Heritage College"
"Aapo Hyvärinen","Swiftly"
"Kun Zhang 0001","Universidad Privada Los Andes"
"Blaz Fortuna","Windsor University School of Medicine"
"Jan Rupnik","University of the Faroe Islands"
"Lorand Dali","Universitas Negeri Surabaya"
"Robert E. Tillman","Skillz"
"Adam Craig Pocock","Firat (Euphrates) University"
"Gavin Brown 0001","Sri Padmavati Women's University"
"Mikel Luján","Betterworks"
"Chris Bracegirdle","Fachhochschule Erfurt"
"David Barber","Ecole de l'Air"
"Andrew Guillory","Gustav-Siewerth-Akademie"
"Erick Chastain","Ahi Evran University"
"Jeff A. Bilmes","Shandong Medical University"
"Andreas P. Streich","Vietnam Maritime University"
"Mario Frank 0001","Clover Health"
"Morteza Haghir Chehreghani","Clover Health"
"Satyaki Mahalanabis","Skillz"
"Burr Settles","TrustArc"
"Ioannis G. Tollis","Indiegogo"
"Sofia Triantafilou","Swiftly"
"Battista Biggio","Dover"
"Blaine Nelson","Flipboard"
"Pavel Laskov","Vietnam Maritime University"
"Wojciech Kotlowski","College of St. Elizabeth"
"Hayaru Shouno","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Hiroaki Sasaki","Kentik"
"Michael Gutmann","Layer"
"Ajit P. Singh","Credit Karma"
"Miroslava Sotáková","Heritage College"
"Alexander Lorbert","Windsor University School of Medicine"
"David J. Eis","Universidad Autónoma de Veracruz Villa Rica"
"Peter J. Ramadge","The Juilliard School"
"Victoria Kostina","Universitas Negeri Surabaya"
"Charles Lee","Liaoning Technical University"
"Jinbo Xu","Outreach"
"Ryan Mills","Grand Rounds"
"Xiaohui Chen","RGA Associates"
"Xing Xu","University of Baltimore"
"Xinghua Shi","University of Medicine Magway"
"Zhiyong Wang 0005","Fachhochschule Erfurt"
"Michael Eichler","Intelliswift"
"Petri Myllymäki","Indiegogo"
"Teemu Roos","Kabam"
"Tomi Silander","TrustArc"
"Arthur U. Asuncion","University of the Faroe Islands"
"Padhraic Smyth","Universidad Autónoma de Veracruz Villa Rica"
"Qiang Liu 0001","Technische Universität München"
"Evangelos A. Theodorou","University of the Faroe Islands"
"Jonas Buchli","Awadhesh Pratap Singh University"
"Stefan Schaal","Ecole de l'Air"
"Eugene Weinstein","Universidad Autónoma de Veracruz Villa Rica"
"Pedro J. Moreno 0001","Outreach"
"J. Andrew Bagnell","Stockholm School of Economics"
"Martin Zinkevich","Fachhochschule Erfurt"
"Nathan D. Ratliff","Universitas Negeri Surabaya"
"Jianjun Xie","Mozilla"
"Siddharth Pal","Windsor University School of Medicine"
"Stephen Coggeshall","College of St. Elizabeth"
"Viktoria Rojkova","BloomThat"
"Changzhang Wang","Outreach"
"Cheng Zheng","Always Hired"
"Jianxin Yin","Universitat de Vic"
"Ping He","Liaoning Technical University"
"You Zhou 0001","University of Debrecen "
"Zhi Geng","Kasetsart University"
"Lawrence K. Saul","Braintree"
"István Szita","The Juilliard School"
"Avleen Singh Bijral","Gustav-Siewerth-Akademie"
"Gregory Z. Grudic","Tempo Automation"
"Markus Breitenbach","West Pomeranian Business School in Szczecin"
"Steven de Rooij","99designs"
"Guanyu Zhou","Swiftly"
"Honglak Lee","Kasetsart University"
"Kihyuk Sohn","Tokyo Denki University"
"Masakazu Ishihata","University of the Faroe Islands"
"Shin-ichi Minato","Radical Designs"
"Taisuke Sato","National Hsin-Chu Teachers College"
"Yoshitaka Kameya","Betterworks"
"Geoffrey J. McLachlan","Okayama University of Science"
"Vladimir Nikulin","Indiegogo"
"Yu Xin","UserTesting"
"Hiroki Nakayama","Technische Universität München"
"Kohei Hatano","Indeed"
"Michinari Momma","Intelliswift"
"Alon Orlitsky","Université Senghor d'Alexandrie"
"Ananda Theertha Suresh","Dover"
"Ashkan Jafarpour","Beijing Union University"
"Hirakendu Das","The Juilliard School"
"Jayadev Acharya","RGA Associates"
"Shengjun Pan","Naytev"
"Amit Daniely","Stitch Labs"
"Antti Airola","Tempo Automation"
"Bernard De Baets","Kabam"
"Tapio Pahikkala","RGA Associates"
"Tapio Salakoski","Tempo Automation"
"Willem Waegeman","Rockbot"
"Yufeng Liu","Fachhochschule Dortmund"
"Andreas Janecek","Firat (Euphrates) University"
"Gerhard F. Ecker","Gemini"
"Michael Demel","Kagawa Medical School"
"Wilfried N. Gansterer","Universitat de Vic"
"Steven C. H. Hoi","Heritage College"
"Wray L. Buntine","99designs"
"Esther Ezra","University of Medicine Magway"
"Nir Ailon","Clover Network"
"Ron Begleiter","Kentik"
"Pei-Pei Li 0001","Kosin University"
"Xindong Wu 0001","Gustav-Siewerth-Akademie"
"Xuegang Hu","Sri Padmavati Women's University"
"Roi Livni","Kagawa Medical School"
"Lucian Busoniu","RGA Associates"
"Clayton Scott","Kagawa Medical School"
"Gyemin Lee","Jobspring Partners"
"Lloyd Stoolman","Indeed"
"Feng Liang","Universitat de Vic"
"Kai Mao","St. Petersburg State University of Technology and Design"
"Sayan Mukherjee 0001","Islamic Azad University, Janah"
"Ankan Saha","General Assembly"
"Fei Sha","Universidad Autónoma de Veracruz Villa Rica"
"Meihong Wang","West Pomeranian Business School in Szczecin"
"Eran Tromer","Universitas Negeri Surabaya"
"Ansaf Salleb-Aouissi","Intelliswift"
"Nicolò Cesa-Bianchi","General Assembly"
"Frank P. Ferrie","Radical Designs"
"Karim T. Abou-Moustafa","Rockbot"
"Lihong Li 0001","Indeed"
"Taesup Moon","Liaoning Technical University"
"Xuanhui Wang","Ecole de l'Air"
"Chun-Nam Yu","RGA Associates"
"Guillaume Stempfel","Stitch Labs"
"Liva Ralaivola","Triplebyte"
"Marie Szafranski","Royal Danish School of Pharmacy"
"Andrew Lonie","Dover"
"David Lazaridis","Codexis"
"Hugh Miller","Beijing Union University"
"Owen Jones","Ahi Evran University"
"Sandy Clarke","Islamic Azad University, Janah"
"Slavé Petrovski","Tokyo Denki University"
"Stephen Lane","RGA Associates"
"Christopher C. Johnson","Ivanovo State Power University"
"Huijun He","Jobspring Partners"
"Mingmin Chi","University of Baltimore"
"Akihiro Yamamoto","Intelliswift"
